Datetime,Symbol,Buy Price,Sell Price,Profit
"Ticker
    2025-04-17 17:32:00+00:00
Name: 229, dtype: object",AAPL,"Ticker
AAPL    197.0
Name: 228, dtype: object","Ticker
AAPL    197.050003
Name: 229, dtype: object","Ticker
AAPL    0.050003
dtype: object"
"Ticker
    2025-04-17 17:33:00+00:00
Name: 230, dtype: object",AAPL,"Ticker
AAPL    197.050003
Name: 229, dtype: object","Ticker
AAPL    197.214996
Name: 230, dtype: object","Ticker
AAPL    0.164993
dtype: object"
"Ticker
    2025-04-17 17:34:00+00:00
Name: 231, dtype: object",AAPL,"Ticker
AAPL    197.214996
Name: 230, dtype: object","Ticker
AAPL    197.270004
Name: 231, dtype: object","Ticker
AAPL    0.055008
dtype: object"
"Ticker
    2025-04-17 17:36:00+00:00
Name: 233, dtype: object",AAPL,"Ticker
AAPL    197.160004
Name: 232, dtype: object","Ticker
AAPL    197.399994
Name: 233, dtype: object","Ticker
AAPL    0.23999
dtype: object"
"Ticker
    2025-04-17 17:38:00+00:00
Name: 235, dtype: object",AAPL,"Ticker
AAPL    197.289993
Name: 234, dtype: object","Ticker
AAPL    197.440002
Name: 235, dtype: object","Ticker
AAPL    0.150009
dtype: object"
"Ticker
    2025-04-17 17:39:00+00:00
Name: 236, dtype: object",AAPL,"Ticker
AAPL    197.440002
Name: 235, dtype: object","Ticker
AAPL    197.630005
Name: 236, dtype: object","Ticker
AAPL    0.190002
dtype: object"
"Ticker
    2025-04-17 17:43:00+00:00
Name: 240, dtype: object",AAPL,"Ticker
AAPL    197.100006
Name: 239, dtype: object","Ticker
AAPL    197.240005
Name: 240, dtype: object","Ticker
AAPL    0.139999
dtype: object"
"Ticker
    2025-04-17 17:44:00+00:00
Name: 241, dtype: object",AAPL,"Ticker
AAPL    197.240005
Name: 240, dtype: object","Ticker
AAPL    197.380005
Name: 241, dtype: object","Ticker
AAPL    0.139999
dtype: object"
"Ticker
    2025-04-17 17:45:00+00:00
Name: 242, dtype: object",AAPL,"Ticker
AAPL    197.380005
Name: 241, dtype: object","Ticker
AAPL    197.450104
Name: 242, dtype: object","Ticker
AAPL    0.070099
dtype: object"
"Ticker
    2025-04-17 17:46:00+00:00
Name: 243, dtype: object",AAPL,"Ticker
AAPL    197.450104
Name: 242, dtype: object","Ticker
AAPL    197.834106
Name: 243, dtype: object","Ticker
AAPL    0.384003
dtype: object"
